#: table_doi: 10.17182/hepdata.11903.v1/t6
#: name: Table 6
#: description: The NC reduced cross section and the electromagnetic structure funcion F2 derived from the data. For Q**2 > 2000 GeV**2 the extraction of F2 is restricted to Y < 0.6.

#: data_file: Table6.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: F2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Structure Function | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 319.0
#: E(P=1) [GeV],27.6
#: E(P=2) [GeV],920.0
#: RE,E+ P --> E+ X
#: SQRT(S) [GeV],319.0,,,,
Q**2 [GEV**2],X,Y,SIG(C=REDUCED),stat +,stat -,sys +,sys -
100.0,0.00131,0.75,1.45,0.023,-0.023,0.052,-0.052
100.0,0.002,0.492,1.388,0.019,-0.019,0.037,-0.037
-,-,-,-,0,0,0,0
120.0,0.00158,0.75,1.404,0.025,-0.025,0.038,-0.038
120.0,0.002,0.591,1.338,0.02,-0.02,0.033,-0.033
120.0,0.0032,0.369,1.22,0.016,-0.016,0.027,-0.027
-,-,-,-,0,0,0,0
150.0,0.00197,0.75,1.398,0.028,-0.028,0.039,-0.039
150.0,0.0032,0.462,1.225,0.015,-0.015,0.032,-0.032
150.0,0.005,0.295,1.061,0.013,-0.013,0.023,-0.023
150.0,0.008,0.185,0.94,0.015,-0.015,0.027,-0.027
-,-,-,-,0,0,0,0
200.0,0.00263,0.75,1.284,0.028,-0.028,0.035,-0.035
200.0,0.0032,0.615,1.242,0.024,-0.024,0.031,-0.031
200.0,0.005,0.394,1.091,0.014,-0.014,0.027,-0.027
200.0,0.008,0.246,0.956,0.012,-0.012,0.022,-0.022
200.0,0.013,0.151,0.801,0.011,-0.011,0.018,-0.018
200.0,0.02,0.098,0.713,0.011,-0.011,0.016,-0.016
200.0,0.032,0.062,0.583,0.01,-0.01,0.016,-0.016
200.0,0.05,0.039,0.516,0.01,-0.01,0.022,-0.022
200.0,0.08,0.025,0.401,0.009,-0.009,0.016,-0.016
200.0,0.13,0.015,0.345,0.009,-0.009,0.016,-0.016
200.0,0.25,0.008,0.259,0.01,-0.01,0.019,-0.019
200.0,0.4,0.005,0.129,0.006,-0.006,0.016,-0.016
-,-,-,-,0,0,0,0
250.0,0.00328,0.75,1.25,0.031,-0.031,0.036,-0.036
250.0,0.005,0.492,1.12,0.018,-0.018,0.027,-0.027
250.0,0.008,0.308,0.943,0.014,-0.014,0.024,-0.024
250.0,0.013,0.189,0.833,0.012,-0.012,0.021,-0.021
250.0,0.02,0.123,0.71,0.011,-0.011,0.018,-0.018
250.0,0.032,0.077,0.577,0.01,-0.01,0.018,-0.018
250.0,0.05,0.049,0.514,0.009,-0.009,0.016,-0.016
250.0,0.08,0.031,0.42,0.008,-0.008,0.015,-0.015
250.0,0.13,0.019,0.342,0.007,-0.007,0.014,-0.014
250.0,0.25,0.01,0.273,0.007,-0.007,0.022,-0.022
250.0,0.4,0.006,0.137,0.005,-0.005,0.017,-0.017
-,-,-,-,0,0,0,0
300.0,0.00394,0.75,1.189,0.032,-0.032,0.033,-0.033
300.0,0.005,0.591,1.132,0.028,-0.028,0.033,-0.033
300.0,0.008,0.369,0.995,0.017,-0.017,0.025,-0.025
300.0,0.013,0.227,0.842,0.014,-0.014,0.02,-0.02
300.0,0.02,0.148,0.708,0.013,-0.013,0.018,-0.018
300.0,0.032,0.092,0.607,0.012,-0.012,0.018,-0.018
300.0,0.05,0.059,0.491,0.01,-0.01,0.016,-0.016
300.0,0.08,0.037,0.44,0.009,-0.009,0.017,-0.017
300.0,0.13,0.023,0.355,0.008,-0.008,0.015,-0.015
300.0,0.25,0.012,0.26,0.008,-0.008,0.025,-0.025
